         ? (     ?   ): memoriaOverhea/6  ... [[33mcontinued[m]: execve()) = 0
     0.036 ( 0.002 ms): memoriaOverhea/6 brk(                                                                  ) = 0x55d05e5b3000
     1.104 ( 0.002 ms): sleep/7 brk(brk: 0x5645d3150000                                               ) = 0x5645d3150000
     0.264 ([33m 0.867 ms[m): memoriaOverhea/6  ... [[33mcontinued[m]: clone()) = 7 (sleep)
     1.124 ( 0.009 ms): sleep/7 nanosleep(rqtp: 0x7ffef4226200                                        ) ...
     1.133 ( 0.001 ms): memoriaOverhea/6 close(fd: 4                                                           ) = 0
     1.137 ( 0.002 ms): memoriaOverhea/6 read(fd: 3, buf: 0x7ffe8cbec198, count: 4                             ) = 0
     1.140 ( 0.005 ms): memoriaOverhea/6 munmap(addr: 0x7f4d9bac0000, len: 36864                               ) = 0
     1.146 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     1.151 ( 0.002 ms): memoriaOverhea/6 rt_sigprocmask(how: SETMASK, nset: 0x7ffe8cbec228, sigsetsize: 8      ) = 0
     1.159 (     ?   ): memoriaOverhea/6 exit_group(                                                           )
     1.124 ([33m 0.098 ms[m): sleep/7  ... [[33mcontinued[m]: nanosleep()) = 0
     1.231 ( 0.002 ms): sleep/7 close(fd: 1                                                           ) = 0
     1.231 ( 0.006 ms): sleep/7  ... [[33mcontinued[m]: close()) = 0
     1.231 ([31m18446744073708.754 ms[m): sleep/7  ... [[33mcontinued[m]: clone()
     0.437 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.440 ( 0.001 ms): sleep/7 rt_sigprocmask(how: BLOCK, oset: 0x7f4d9bac8ea0, sigsetsize: 8        ) = 0
     0.442 ( 0.001 ms): sleep/7 rt_sigaction(sig: HUP, oact: 0x7f4d9bac8db0, sigsetsize: 8            ) = 0
     0.445 ( 0.001 ms): sleep/7 rt_sigaction(sig: HUP, act: 0x7f4d9bac8d10, sigsetsize: 8             ) = 0
     0.447 ( 0.001 ms): sleep/7 rt_sigaction(sig: INT, oact: 0x7f4d9bac8db0, sigsetsize: 8            ) = 0
     0.449 ( 0.001 ms): sleep/7 rt_sigaction(sig: INT, act: 0x7f4d9bac8d10, sigsetsize: 8             ) = 0
     0.451 ( 0.001 ms): sleep/7 rt_sigaction(sig: QUIT, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.453 ( 0.001 ms): sleep/7 rt_sigaction(sig: QUIT, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.455 ( 0.001 ms): sleep/7 rt_sigaction(sig: ILL, oact: 0x7f4d9bac8db0, sigsetsize: 8            ) = 0
     0.457 ( 0.001 ms): sleep/7 rt_sigaction(sig: ILL, act: 0x7f4d9bac8d10, sigsetsize: 8             ) = 0
     0.459 ( 0.001 ms): sleep/7 rt_sigaction(sig: TRAP, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.462 ( 0.001 ms): sleep/7 rt_sigaction(sig: TRAP, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.464 ( 0.001 ms): sleep/7 rt_sigaction(sig: ABRT, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.466 ( 0.001 ms): sleep/7 rt_sigaction(sig: ABRT, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.468 ( 0.001 ms): sleep/7 rt_sigaction(sig: BUS, oact: 0x7f4d9bac8db0, sigsetsize: 8            ) = 0
     0.470 ( 0.001 ms): sleep/7 rt_sigaction(sig: BUS, act: 0x7f4d9bac8d10, sigsetsize: 8             ) = 0
     0.472 ( 0.001 ms): sleep/7 rt_sigaction(sig: FPE, oact: 0x7f4d9bac8db0, sigsetsize: 8            ) = 0
     0.474 ( 0.001 ms): sleep/7 rt_sigaction(sig: FPE, act: 0x7f4d9bac8d10, sigsetsize: 8             ) = 0
     0.476 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR1, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.479 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR1, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.481 ( 0.001 ms): sleep/7 rt_sigaction(sig: SEGV, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.483 ( 0.001 ms): sleep/7 rt_sigaction(sig: SEGV, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.485 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR2, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.487 ( 0.001 ms): sleep/7 rt_sigaction(sig: USR2, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.490 ( 0.001 ms): sleep/7 rt_sigaction(sig: PIPE, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.492 ( 0.001 ms): sleep/7 rt_sigaction(sig: PIPE, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.494 ( 0.001 ms): sleep/7 rt_sigaction(sig: ALRM, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): sleep/7 rt_sigaction(sig: ALRM, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.498 ( 0.001 ms): sleep/7 rt_sigaction(sig: TERM, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.500 ( 0.001 ms): sleep/7 rt_sigaction(sig: TERM, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.502 ( 0.001 ms): sleep/7 rt_sigaction(sig: STKFLT, oact: 0x7f4d9bac8db0, sigsetsize: 8         ) = 0
     0.504 ( 0.001 ms): sleep/7 rt_sigaction(sig: STKFLT, act: 0x7f4d9bac8d10, sigsetsize: 8          ) = 0
     0.506 ( 0.001 ms): sleep/7 rt_sigaction(sig: CHLD, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.508 ( 0.001 ms): sleep/7 rt_sigaction(sig: CHLD, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): sleep/7 rt_sigaction(sig: CONT, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.512 ( 0.001 ms): sleep/7 rt_sigaction(sig: CONT, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.515 ( 0.001 ms): sleep/7 rt_sigaction(sig: TSTP, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): sleep/7 rt_sigaction(sig: TSTP, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTIN, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTIN, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTOU, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.525 ( 0.001 ms): sleep/7 rt_sigaction(sig: TTOU, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.528 ( 0.001 ms): sleep/7 rt_sigaction(sig: URG, oact: 0x7f4d9bac8db0, sigsetsize: 8            ) = 0
     0.530 ( 0.001 ms): sleep/7 rt_sigaction(sig: URG, act: 0x7f4d9bac8d10, sigsetsize: 8             ) = 0
     0.532 ( 0.001 ms): sleep/7 rt_sigaction(sig: XCPU, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.534 ( 0.001 ms): sleep/7 rt_sigaction(sig: XCPU, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): sleep/7 rt_sigaction(sig: XFSZ, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.538 ( 0.001 ms): sleep/7 rt_sigaction(sig: XFSZ, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.540 ( 0.001 ms): sleep/7 rt_sigaction(sig: VTALRM, oact: 0x7f4d9bac8db0, sigsetsize: 8         ) = 0
     0.542 ( 0.001 ms): sleep/7 rt_sigaction(sig: VTALRM, act: 0x7f4d9bac8d10, sigsetsize: 8          ) = 0
     0.544 ( 0.001 ms): sleep/7 rt_sigaction(sig: PROF, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.546 ( 0.001 ms): sleep/7 rt_sigaction(sig: PROF, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.548 ( 0.001 ms): sleep/7 rt_sigaction(sig: WINCH, oact: 0x7f4d9bac8db0, sigsetsize: 8          ) = 0
     0.550 ( 0.001 ms): sleep/7 rt_sigaction(sig: WINCH, act: 0x7f4d9bac8d10, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): sleep/7 rt_sigaction(sig: IO, oact: 0x7f4d9bac8db0, sigsetsize: 8             ) = 0
     0.554 ( 0.001 ms): sleep/7 rt_sigaction(sig: IO, act: 0x7f4d9bac8d10, sigsetsize: 8              ) = 0
     0.556 ( 0.001 ms): sleep/7 rt_sigaction(sig: PWR, oact: 0x7f4d9bac8db0, sigsetsize: 8            ) = 0
     0.559 ( 0.001 ms): sleep/7 rt_sigaction(sig: PWR, act: 0x7f4d9bac8d10, sigsetsize: 8             ) = 0
     0.561 ( 0.001 ms): sleep/7 rt_sigaction(sig: SYS, oact: 0x7f4d9bac8db0, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): sleep/7 rt_sigaction(sig: SYS, act: 0x7f4d9bac8d10, sigsetsize: 8             ) = 0
     0.565 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x20, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.567 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x21, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.569 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x22, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.571 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x22, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.573 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x23, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.575 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x23, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.577 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x24, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.579 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x24, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.581 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x25, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.583 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x25, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.585 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x26, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.587 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x26, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.589 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x27, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.591 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x27, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.593 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x28, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.594 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x28, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.596 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x29, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.598 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x29, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.600 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2a, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.601 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2a, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.603 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2b, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.605 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2b, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.607 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2c, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.609 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2c, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.611 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2d, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.613 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2d, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.614 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2e, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.616 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2e, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.618 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2f, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.620 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2f, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.622 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x30, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.624 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x30, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.626 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x31, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.628 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x31, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.630 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x32, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.632 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x32, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.634 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x33, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.635 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x33, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.638 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x34, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.640 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x34, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.642 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x35, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.644 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x35, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.646 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x36, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.648 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x36, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.650 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x37, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.652 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x37, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.654 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x38, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.656 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x38, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.658 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x39, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.660 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x39, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.662 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3a, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.664 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3a, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.666 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3b, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.668 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3b, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.670 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3c, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.672 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3c, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.674 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3d, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.676 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3d, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.678 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3e, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.680 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3e, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.682 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3f, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.684 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3f, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.685 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x40, oact: 0x7f4d9bac8db0, sigsetsize: 8           ) = 0
     0.687 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x40, act: 0x7f4d9bac8d10, sigsetsize: 8            ) = 0
     0.689 ( 0.001 ms): sleep/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffe8cbec228, sigsetsize: 8      ) = 0
     0.700 ([33m 0.020 ms[m): sleep/7 execve(filename: 0x9bac8d80, argv: 0x7ffe8cbec500                     ) = -2
     0.722 ( 0.004 ms): sleep/7 execve(filename: 0x9bac8d80, argv: 0x7ffe8cbec500                     ) = -2
     0.727 ( 0.004 ms): sleep/7 execve(filename: 0x9bac8d80, argv: 0x7ffe8cbec500                     ) = -2
     0.732 ( 0.004 ms): sleep/7 execve(filename: 0x9bac8d80, argv: 0x7ffe8cbec500                     ) = -2
     0.737 ( 0.004 ms): sleep/7 execve(filename: 0x9bac8d80, argv: 0x7ffe8cbec500                     ) = -2
     0.742 ([33m 0.010 ms[m): sleep/7 execve(filename: 0x9bac8d80, argv: 0x7ffe8cbec500                     ) = -2
