         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x56054cec0000
     0.263 ( 0.003 ms): memoriaOverhea/7 pipe2(fildes: 0x7ffdba097bd0, flags: CLOEXEC                          ) = 0
     0.268 ( 0.002 ms): memoriaOverhea/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7ff9f55d7000
     0.270 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffdba097b50, oset: 0x7ffdba097bd8, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/8  ... [[33mcontinued[m]: clone()
     0.273 ([33m 0.153 ms[m): memoriaOverhea/7 clone(clone_flags: 16657, newsp: 140711540162544, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x56054b20cca8) ...
     0.426 ( 0.001 ms): memoriaOverhea/8 close(fd: 3                                                           ) = 0
     0.429 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: BLOCK, oset: 0x7ff9f55dfea0, sigsetsize: 8        ) = 0
     0.431 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, oact: 0x7ff9f55dfdb0, sigsetsize: 8            ) = 0
     0.433 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: HUP, act: 0x7ff9f55dfd10, sigsetsize: 8             ) = 0
     0.435 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, oact: 0x7ff9f55dfdb0, sigsetsize: 8            ) = 0
     0.438 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: INT, act: 0x7ff9f55dfd10, sigsetsize: 8             ) = 0
     0.440 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.442 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: QUIT, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.444 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, oact: 0x7ff9f55dfdb0, sigsetsize: 8            ) = 0
     0.446 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ILL, act: 0x7ff9f55dfd10, sigsetsize: 8             ) = 0
     0.448 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.450 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TRAP, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.452 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.454 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.456 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: BUS, oact: 0x7ff9f55dfdb0, sigsetsize: 8            ) = 0
     0.458 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: BUS, act: 0x7ff9f55dfd10, sigsetsize: 8             ) = 0
     0.460 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: FPE, oact: 0x7ff9f55dfdb0, sigsetsize: 8            ) = 0
     0.462 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: FPE, act: 0x7ff9f55dfd10, sigsetsize: 8             ) = 0
     0.463 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR1, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.465 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR1, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.467 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SEGV, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.469 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SEGV, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR2, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR2, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PIPE, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PIPE, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ALRM, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.481 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ALRM, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.483 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TERM, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.485 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TERM, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.487 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: STKFLT, oact: 0x7ff9f55dfdb0, sigsetsize: 8         ) = 0
     0.489 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: STKFLT, act: 0x7ff9f55dfd10, sigsetsize: 8          ) = 0
     0.491 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: CHLD, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.492 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: CHLD, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.495 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: CONT, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.496 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: CONT, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.499 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TSTP, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.501 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TSTP, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.503 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TTIN, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.505 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TTIN, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.507 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TTOU, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.509 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TTOU, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.511 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: URG, oact: 0x7ff9f55dfdb0, sigsetsize: 8            ) = 0
     0.513 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: URG, act: 0x7ff9f55dfd10, sigsetsize: 8             ) = 0
     0.515 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: XCPU, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.517 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: XCPU, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.519 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: XFSZ, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.521 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: XFSZ, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.523 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: VTALRM, oact: 0x7ff9f55dfdb0, sigsetsize: 8         ) = 0
     0.525 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: VTALRM, act: 0x7ff9f55dfd10, sigsetsize: 8          ) = 0
     0.527 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PROF, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.529 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PROF, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.531 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: WINCH, oact: 0x7ff9f55dfdb0, sigsetsize: 8          ) = 0
     0.533 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: WINCH, act: 0x7ff9f55dfd10, sigsetsize: 8           ) = 0
     0.535 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: IO, oact: 0x7ff9f55dfdb0, sigsetsize: 8             ) = 0
     0.537 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: IO, act: 0x7ff9f55dfd10, sigsetsize: 8              ) = 0
     0.539 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PWR, oact: 0x7ff9f55dfdb0, sigsetsize: 8            ) = 0
     0.541 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PWR, act: 0x7ff9f55dfd10, sigsetsize: 8             ) = 0
     0.543 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SYS, oact: 0x7ff9f55dfdb0, sigsetsize: 8            ) = 0
     0.545 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SYS, act: 0x7ff9f55dfd10, sigsetsize: 8             ) = 0
     0.547 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x20, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.549 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x21, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.551 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x22, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.553 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x22, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.555 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x23, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x23, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.560 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x24, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.562 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x24, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.564 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x25, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.566 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x25, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x26, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.570 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x26, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.572 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x27, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.574 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x27, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.576 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x28, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.578 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x28, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.580 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x29, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.582 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x29, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.584 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2a, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.586 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2a, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.588 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2b, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.590 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2b, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.592 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2c, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.594 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2c, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.596 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2d, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.598 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2d, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.600 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2e, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.602 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2e, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.604 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2f, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.606 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2f, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.608 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x30, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.610 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x30, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.612 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x31, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.614 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x31, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.616 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x32, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.618 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x32, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.620 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x33, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.623 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x33, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.625 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x34, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.627 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x34, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.629 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x35, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.631 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x35, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.633 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x36, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.635 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x36, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.637 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x37, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.639 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x37, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.642 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x38, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.644 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x38, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.646 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x39, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.648 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x39, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.650 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3a, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.652 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3a, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.654 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3b, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.656 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3b, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.658 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3c, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.660 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3c, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.663 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3d, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.665 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3d, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.667 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3e, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.668 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3e, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.670 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3f, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.672 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3f, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.674 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x40, oact: 0x7ff9f55dfdb0, sigsetsize: 8           ) = 0
     0.676 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x40, act: 0x7ff9f55dfd10, sigsetsize: 8            ) = 0
     0.678 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffdba097bd8, sigsetsize: 8      ) = 0
     0.688 ([33m 0.022 ms[m): memoriaOverhea/8 execve(filename: 0xf55dfd80, argv: 0x7ffdba097eb0                     ) = -2
     0.712 ( 0.005 ms): memoriaOverhea/8 execve(filename: 0xf55dfd80, argv: 0x7ffdba097eb0                     ) = -2
     0.718 ( 0.004 ms): memoriaOverhea/8 execve(filename: 0xf55dfd80, argv: 0x7ffdba097eb0                     ) = -2
     0.724 ( 0.004 ms): memoriaOverhea/8 execve(filename: 0xf55dfd80, argv: 0x7ffdba097eb0                     ) = -2
     0.729 ( 0.004 ms): memoriaOverhea/8 execve(filename: 0xf55dfd80, argv: 0x7ffdba097eb0                     ) = -2
     0.734 ([33m 0.011 ms[m): memoriaOverhea/8 execve(filename: 0xf55dfd80, argv: 0x7ffdba097eb0                     ) = -2
     0.746 ([33m 0.077 ms[m): sleep/8 execve(filename: 0xf55dfd80, argv: 0x7ffdba097eb0                     ) = 0
     0.837 ( 0.002 ms): sleep/8 brk(                                                                  ) = 0x557dd7c9f000
     0.851 ( 0.004 ms): sleep/8 access(filename: 0xb61b94e7                                           ) = -1 ENOENT No such file or directory
     0.859 ( 0.002 ms): sleep/8 access(filename: 0xb61bbc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.865 ( 0.004 ms): sleep/8 open(filename: 0xb61b9988, flags: CLOEXEC                             ) = 3
     0.870 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd7c73cc80                                  ) = 0
     0.873 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fafb63bb000
     0.877 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.882 ( 0.002 ms): sleep/8 access(filename: 0xb61b94e7                                           ) = -1 ENOENT No such file or directory
     0.886 ( 0.005 ms): sleep/8 open(filename: 0xb63c1d68, flags: CLOEXEC                             ) = 3
     0.892 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffd7c73ce28, count: 832                           ) = 832
     0.895 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd7c73ccc0                                  ) = 0
     0.898 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fafb63b9000
     0.904 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fafb5dfd000
     0.908 ( 0.006 ms): sleep/8 mprotect(start: 0x7fafb5f92000, len: 2097152                          ) = 0
     0.915 ( 0.005 ms): sleep/8 mmap(addr: 0x7fafb6192000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fafb6192000
     0.924 ( 0.003 ms): sleep/8 mmap(addr: 0x7fafb6198000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fafb6198000
     0.932 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.944 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140392653366400                        ) = 0
     0.989 ( 0.004 ms): sleep/8 mprotect(start: 0x7fafb6192000, len: 16384, prot: READ                ) = 0
     0.997 ( 0.003 ms): sleep/8 mprotect(start: 0x557dd7197000, len: 4096, prot: READ                 ) = 0
     1.002 ( 0.003 ms): sleep/8 mprotect(start: 0x7fafb63bf000, len: 4096, prot: READ                 ) = 0
     1.006 ( 0.004 ms): sleep/8 munmap(addr: 0x7fafb63bb000, len: 13580                               ) = 0
     1.059 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x557dd7c9f000
     1.061 ( 0.002 ms): sleep/8 brk(brk: 0x557dd7cc0000                                               ) = 0x557dd7cc0000
     0.273 ([33m 0.814 ms[m): memoriaOverhea/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     1.080 ( 0.009 ms): sleep/8 nanosleep(rqtp: 0x7ffd7c73d5d0                                        ) ...
     1.089 ( 0.001 ms): memoriaOverhea/7 close(fd: 4                                                           ) = 0
     1.092 ( 0.002 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7ffdba097b48, count: 4                             ) = 0
     1.095 ( 0.005 ms): memoriaOverhea/7 munmap(addr: 0x7ff9f55d7000, len: 36864                               ) = 0
     1.101 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     1.107 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffdba097bd8, sigsetsize: 8      ) = 0
     1.116 (     ?   ): memoriaOverhea/7 exit_group(                                                           )
     1.080 ([33m 0.128 ms[m): sleep/8  ... [[33mcontinued[m]: nanosleep()) = 0
     1.216 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.219 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     1.224 (     ?   ): sleep/8 exit_group(                                                           )
