         ? (     ?   ): memoriaOverhea/6  ... [[33mcontinued[m]: execve()) = 0
     0.026 ( 0.002 ms): memoriaOverhea/6 brk(                                                                  ) = 0x5613a07d2000
     0.138 ( 0.001 ms): memoriaOverhea/6 arch_prctl(option: 4098, arg2: 140718186210368                        ) = 0
     0.184 ( 0.004 ms): memoriaOverhea/6 mprotect(start: 0x7ffb815e2000, len: 16384, prot: READ                ) = 0
     0.191 ( 0.003 ms): memoriaOverhea/6 mprotect(start: 0x5613a02c0000, len: 4096, prot: READ                 ) = 0
     0.197 ( 0.003 ms): memoriaOverhea/6 mprotect(start: 0x7ffb8180f000, len: 4096, prot: READ                 ) = 0
     0.201 ( 0.004 ms): memoriaOverhea/6 munmap(addr: 0x7ffb8180b000, len: 13580                               ) = 0
     0.366 ([33m 0.013 ms[m): memoriaOverhea/6 pipe2(fildes: 0x7ffec9fc7e10, flags: CLOEXEC                          ) = 0
     0.381 ( 0.003 ms): memoriaOverhea/6 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7ffb81800000
     0.385 ( 0.002 ms): memoriaOverhea/6 rt_sigprocmask(how: BLOCK, nset: 0x7ffec9fc7d90, oset: 0x7ffec9fc7e18, sigsetsize: 8) = 0
         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: clone()
     0.389 ([31m 3.031 ms[m): memoriaOverhea/6 clone(clone_flags: 16657, newsp: 140718186205168, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x5613a00bfca8) ...
     3.421 ( 0.002 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     3.423 ( 0.002 ms): memoriaOverhea/7 rt_sigprocmask(how: BLOCK, oset: 0x7ffb81808ea0, sigsetsize: 8        ) = 0
     3.426 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: HUP, oact: 0x7ffb81808db0, sigsetsize: 8            ) = 0
     3.429 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: HUP, act: 0x7ffb81808d10, sigsetsize: 8             ) = 0
     3.431 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: INT, oact: 0x7ffb81808db0, sigsetsize: 8            ) = 0
     3.433 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: INT, act: 0x7ffb81808d10, sigsetsize: 8             ) = 0
     3.435 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: QUIT, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.438 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: QUIT, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.440 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ILL, oact: 0x7ffb81808db0, sigsetsize: 8            ) = 0
     3.442 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ILL, act: 0x7ffb81808d10, sigsetsize: 8             ) = 0
     3.444 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TRAP, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.446 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TRAP, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.448 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ABRT, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.451 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ABRT, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.452 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: BUS, oact: 0x7ffb81808db0, sigsetsize: 8            ) = 0
     3.454 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: BUS, act: 0x7ffb81808d10, sigsetsize: 8             ) = 0
     3.456 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: FPE, oact: 0x7ffb81808db0, sigsetsize: 8            ) = 0
     3.458 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: FPE, act: 0x7ffb81808d10, sigsetsize: 8             ) = 0
     3.460 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR1, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.462 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR1, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.464 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: SEGV, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.467 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: SEGV, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.469 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR2, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.471 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: USR2, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.473 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PIPE, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.475 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PIPE, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.477 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ALRM, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.479 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: ALRM, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.481 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TERM, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.483 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TERM, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.485 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: STKFLT, oact: 0x7ffb81808db0, sigsetsize: 8         ) = 0
     3.487 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: STKFLT, act: 0x7ffb81808d10, sigsetsize: 8          ) = 0
     3.489 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: CHLD, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.491 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: CHLD, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.493 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: CONT, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.495 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: CONT, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.497 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TSTP, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.499 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TSTP, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.501 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TTIN, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.503 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TTIN, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.505 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TTOU, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.508 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: TTOU, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.510 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: URG, oact: 0x7ffb81808db0, sigsetsize: 8            ) = 0
     3.512 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: URG, act: 0x7ffb81808d10, sigsetsize: 8             ) = 0
     3.514 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: XCPU, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.516 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: XCPU, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.518 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: XFSZ, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.520 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: XFSZ, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.522 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: VTALRM, oact: 0x7ffb81808db0, sigsetsize: 8         ) = 0
     3.524 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: VTALRM, act: 0x7ffb81808d10, sigsetsize: 8          ) = 0
     3.526 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PROF, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.528 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PROF, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.530 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: WINCH, oact: 0x7ffb81808db0, sigsetsize: 8          ) = 0
     3.533 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: WINCH, act: 0x7ffb81808d10, sigsetsize: 8           ) = 0
     3.535 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: IO, oact: 0x7ffb81808db0, sigsetsize: 8             ) = 0
     3.537 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: IO, act: 0x7ffb81808d10, sigsetsize: 8              ) = 0
     3.539 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PWR, oact: 0x7ffb81808db0, sigsetsize: 8            ) = 0
     3.541 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: PWR, act: 0x7ffb81808d10, sigsetsize: 8             ) = 0
     3.543 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: SYS, oact: 0x7ffb81808db0, sigsetsize: 8            ) = 0
     3.546 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: SYS, act: 0x7ffb81808d10, sigsetsize: 8             ) = 0
     3.548 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x20, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.550 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x21, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.552 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x22, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.555 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x22, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.557 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x23, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.559 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x23, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.561 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x24, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.563 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x24, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.565 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x25, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.567 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x25, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.569 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x26, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.571 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x26, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.573 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x27, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.575 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x27, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.577 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x28, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.579 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x28, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.582 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x29, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.584 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x29, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.586 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2a, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.588 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2a, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.589 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2b, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.591 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2b, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.594 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2c, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.596 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2c, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.598 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2d, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.600 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2d, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.602 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2e, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.604 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2e, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.607 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2f, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.609 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x2f, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.611 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x30, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.613 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x30, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.615 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x31, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.617 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x31, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.619 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x32, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.622 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x32, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.624 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x33, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.626 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x33, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.628 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x34, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.630 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x34, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.632 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x35, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.635 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x35, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.637 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x36, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.639 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x36, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.641 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x37, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.644 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x37, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.646 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x38, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.648 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x38, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.651 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x39, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.653 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x39, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.655 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3a, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.657 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3a, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.659 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3b, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.661 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3b, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.663 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3c, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.666 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3c, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.668 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3d, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.670 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3d, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.672 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3e, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.674 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3e, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.676 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3f, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.679 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x3f, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.681 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x40, oact: 0x7ffb81808db0, sigsetsize: 8           ) = 0
     3.683 ( 0.001 ms): memoriaOverhea/7 rt_sigaction(sig: 0x40, act: 0x7ffb81808d10, sigsetsize: 8            ) = 0
     3.685 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffec9fc7e18, sigsetsize: 8      ) = 0
     3.697 ([33m 0.023 ms[m): memoriaOverhea/7 execve(filename: 0x81808d80, argv: 0x7ffec9fc80f0                     ) = -2
     3.722 ( 0.007 ms): memoriaOverhea/7 execve(filename: 0x81808d80, argv: 0x7ffec9fc80f0                     ) = -2
     3.731 ( 0.004 ms): memoriaOverhea/7 execve(filename: 0x81808d80, argv: 0x7ffec9fc80f0                     ) = -2
     3.736 ( 0.005 ms): memoriaOverhea/7 execve(filename: 0x81808d80, argv: 0x7ffec9fc80f0                     ) = -2
     3.742 ( 0.005 ms): memoriaOverhea/7 execve(filename: 0x81808d80, argv: 0x7ffec9fc80f0                     ) = -2
     3.748 ([33m 0.014 ms[m): memoriaOverhea/7 execve(filename: 0x81808d80, argv: 0x7ffec9fc80f0                     ) = -2
     3.763 ([33m 0.109 ms[m): sleep/7 execve(filename: 0x81808d80, argv: 0x7ffec9fc80f0                     ) = 0
     3.889 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x556da51f9000
     3.903 ( 0.004 ms): sleep/7 access(filename: 0x66dc14e7                                           ) = -1 ENOENT No such file or directory
     3.909 ( 0.002 ms): sleep/7 access(filename: 0x66dc3c70, mode: R                                  ) = -1 ENOENT No such file or directory
     3.917 ( 0.004 ms): sleep/7 open(filename: 0x66dc1988, flags: CLOEXEC                             ) = 3
     3.923 ( 0.002 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffeaa7d8aa0                                  ) = 0
     3.926 ( 0.003 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7faa66fc3000
     3.931 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     3.935 ( 0.002 ms): sleep/7 access(filename: 0x66dc14e7                                           ) = -1 ENOENT No such file or directory
     3.939 ( 0.005 ms): sleep/7 open(filename: 0x66fc9d68, flags: CLOEXEC                             ) = 3
     3.946 ( 0.002 ms): sleep/7 read(fd: 3, buf: 0x7ffeaa7d8c48, count: 832                           ) = 832
     3.949 ( 0.001 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffeaa7d8ae0                                  ) = 0
     3.952 ( 0.002 ms): sleep/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7faa66fc1000
     3.958 ( 0.003 ms): sleep/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7faa66a05000
     3.962 ( 0.006 ms): sleep/7 mprotect(start: 0x7faa66b9a000, len: 2097152                          ) = 0
     3.969 ( 0.005 ms): sleep/7 mmap(addr: 0x7faa66d9a000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7faa66d9a000
     3.978 ( 0.003 ms): sleep/7 mmap(addr: 0x7faa66da0000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7faa66da0000
     3.986 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     3.999 ( 0.001 ms): sleep/7 arch_prctl(option: 4098, arg2: 140369848968320                        ) = 0
     4.043 ( 0.005 ms): sleep/7 mprotect(start: 0x7faa66d9a000, len: 16384, prot: READ                ) = 0
     4.053 ( 0.004 ms): sleep/7 mprotect(start: 0x556da3dfa000, len: 4096, prot: READ                 ) = 0
     4.059 ( 0.003 ms): sleep/7 mprotect(start: 0x7faa66fc7000, len: 4096, prot: READ                 ) = 0
     4.064 ( 0.005 ms): sleep/7 munmap(addr: 0x7faa66fc3000, len: 13580                               ) = 0
     4.118 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x556da51f9000
     4.121 ( 0.002 ms): sleep/7 brk(brk: 0x556da521a000                                               ) = 0x556da521a000
     0.389 ([31m 3.762 ms[m): memoriaOverhea/6  ... [[33mcontinued[m]: clone()) = 7 (sleep)
     4.144 ( 0.010 ms): sleep/7 nanosleep(rqtp: 0x7ffeaa7d93f0                                        ) ...
     4.154 ( 0.001 ms): memoriaOverhea/6 close(fd: 4                                                           ) = 0
     4.158 ( 0.002 ms): memoriaOverhea/6 read(fd: 3, buf: 0x7ffec9fc7d88, count: 4                             ) = 0
     4.160 ( 0.006 ms): memoriaOverhea/6 munmap(addr: 0x7ffb81800000, len: 36864                               ) = 0
     4.167 ( 0.001 ms): memoriaOverhea/6 close(fd: 3                                                           ) = 0
     4.173 ( 0.001 ms): memoriaOverhea/6 rt_sigprocmask(how: SETMASK, nset: 0x7ffec9fc7e18, sigsetsize: 8      ) = 0
     4.181 (     ?   ): memoriaOverhea/6 exit_group(                                                           )
     4.144 ([33m 0.123 ms[m): sleep/7  ... [[33mcontinued[m]: nanosleep()) = 0
     4.277 ( 0.001 ms): sleep/7 close(fd: 1                                                           ) = 0
     4.280 ( 0.001 ms): sleep/7 close(fd: 2                                                           ) = 0
     4.285 (     ?   ): sleep/7 exit_group(                                                           )
