         ? (     ?   ): memoriaOverhea/7  ... [[33mcontinued[m]: execve()) = 0
     0.023 ( 0.001 ms): memoriaOverhea/7 brk(                                                                  ) = 0x56342240a000
     0.558 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.560 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ABRT, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.562 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: BUS, oact: 0x7f22e40d4db0, sigsetsize: 8            ) = 0
     0.564 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: BUS, act: 0x7f22e40d4d10, sigsetsize: 8             ) = 0
     0.566 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: FPE, oact: 0x7f22e40d4db0, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: FPE, act: 0x7f22e40d4d10, sigsetsize: 8             ) = 0
     0.570 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR1, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.573 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR1, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.575 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SEGV, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.577 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SEGV, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.579 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR2, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.581 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: USR2, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.583 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PIPE, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.584 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PIPE, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.587 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ALRM, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.589 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: ALRM, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.590 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TERM, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.592 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TERM, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.594 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: STKFLT, oact: 0x7f22e40d4db0, sigsetsize: 8         ) = 0
     0.596 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: STKFLT, act: 0x7f22e40d4d10, sigsetsize: 8          ) = 0
     0.599 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: CHLD, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.601 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: CHLD, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.603 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: CONT, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.606 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: CONT, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.608 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TSTP, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.610 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TSTP, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.612 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TTIN, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.614 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TTIN, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.616 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TTOU, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.618 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: TTOU, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.621 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: URG, oact: 0x7f22e40d4db0, sigsetsize: 8            ) = 0
     0.623 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: URG, act: 0x7f22e40d4d10, sigsetsize: 8             ) = 0
     0.625 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: XCPU, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.627 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: XCPU, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.629 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: XFSZ, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.631 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: XFSZ, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.633 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: VTALRM, oact: 0x7f22e40d4db0, sigsetsize: 8         ) = 0
     0.636 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: VTALRM, act: 0x7f22e40d4d10, sigsetsize: 8          ) = 0
     0.638 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PROF, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.640 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PROF, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.642 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: WINCH, oact: 0x7f22e40d4db0, sigsetsize: 8          ) = 0
     0.644 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: WINCH, act: 0x7f22e40d4d10, sigsetsize: 8           ) = 0
     0.647 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: IO, oact: 0x7f22e40d4db0, sigsetsize: 8             ) = 0
     0.649 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: IO, act: 0x7f22e40d4d10, sigsetsize: 8              ) = 0
     0.651 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PWR, oact: 0x7f22e40d4db0, sigsetsize: 8            ) = 0
     0.653 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: PWR, act: 0x7f22e40d4d10, sigsetsize: 8             ) = 0
     0.655 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SYS, oact: 0x7f22e40d4db0, sigsetsize: 8            ) = 0
     0.657 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: SYS, act: 0x7f22e40d4d10, sigsetsize: 8             ) = 0
     0.659 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x20, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.662 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x21, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.664 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x22, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.666 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x22, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.668 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x23, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.670 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x23, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.672 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x24, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.675 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x24, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.677 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x25, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.679 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x25, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.681 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x26, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.683 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x26, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.685 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x27, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.687 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x27, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.689 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x28, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.691 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x28, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.694 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x29, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.696 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x29, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.698 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2a, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.700 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2a, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.702 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2b, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.704 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2b, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.707 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2c, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.709 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2c, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.711 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2d, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.713 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2d, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.715 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2e, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.718 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2e, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.720 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2f, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.722 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x2f, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.724 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x30, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.726 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x30, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.728 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x31, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.731 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x31, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.733 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x32, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.735 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x32, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.737 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x33, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.740 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x33, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.742 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x34, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.744 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x34, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.746 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x35, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.748 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x35, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.750 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x36, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.752 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x36, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.754 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x37, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.757 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x37, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.759 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x38, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.761 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x38, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.763 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x39, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.765 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x39, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.767 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3a, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.769 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3a, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.772 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3b, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.774 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3b, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.776 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3c, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.778 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3c, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.780 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3d, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.783 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3d, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.785 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3e, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.787 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3e, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.789 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3f, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.791 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x3f, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.793 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x40, oact: 0x7f22e40d4db0, sigsetsize: 8           ) = 0
     0.795 ( 0.001 ms): memoriaOverhea/8 rt_sigaction(sig: 0x40, act: 0x7f22e40d4d10, sigsetsize: 8            ) = 0
     0.797 ( 0.001 ms): memoriaOverhea/8 rt_sigprocmask(how: SETMASK, nset: 0x7fff9606d6d8, sigsetsize: 8      ) = 0
     0.806 ([33m 0.019 ms[m): memoriaOverhea/8 execve(filename: 0xe40d4d80, argv: 0x7fff9606d9b0                     ) = -2
     0.826 ( 0.005 ms): memoriaOverhea/8 execve(filename: 0xe40d4d80, argv: 0x7fff9606d9b0                     ) = -2
     0.833 ( 0.004 ms): memoriaOverhea/8 execve(filename: 0xe40d4d80, argv: 0x7fff9606d9b0                     ) = -2
     0.838 ( 0.004 ms): memoriaOverhea/8 execve(filename: 0xe40d4d80, argv: 0x7fff9606d9b0                     ) = -2
     0.843 ( 0.009 ms): memoriaOverhea/8 execve(filename: 0xe40d4d80, argv: 0x7fff9606d9b0                     ) = -2
     0.853 ([33m 0.085 ms[m): memoriaOverhea/8 execve(filename: 0xe40d4d80, argv: 0x7fff9606d9b0                     ) = -2
     0.940 ([33m 0.431 ms[m): sleep/8 execve(filename: 0xe40d4d80, argv: 0x7fff9606d9b0                     ) = 0
     1.385 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x557cc1822000
     1.399 ( 0.004 ms): sleep/8 access(filename: 0xd77694e7                                           ) = -1 ENOENT No such file or directory
     1.407 ( 0.002 ms): sleep/8 access(filename: 0xd776bc70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.413 ( 0.004 ms): sleep/8 open(filename: 0xd7769988, flags: CLOEXEC                             ) = 3
     1.418 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffde0281330                                  ) = 0
     1.421 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fd4d796b000
     1.425 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.429 ( 0.002 ms): sleep/8 access(filename: 0xd77694e7                                           ) = -1 ENOENT No such file or directory
     1.433 ( 0.005 ms): sleep/8 open(filename: 0xd7971d68, flags: CLOEXEC                             ) = 3
     1.439 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffde02814d8, count: 832                           ) = 832
     1.443 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffde0281370                                  ) = 0
     1.445 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fd4d7969000
     1.451 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fd4d73ad000
     1.456 ( 0.005 ms): sleep/8 mprotect(start: 0x7fd4d7542000, len: 2097152                          ) = 0
     1.462 ( 0.004 ms): sleep/8 mmap(addr: 0x7fd4d7742000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fd4d7742000
     1.470 ( 0.003 ms): sleep/8 mmap(addr: 0x7fd4d7748000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fd4d7748000
     1.478 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.494 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140552126768256                        ) = 0
     1.537 ( 0.004 ms): sleep/8 mprotect(start: 0x7fd4d7742000, len: 16384, prot: READ                ) = 0
     1.544 ( 0.002 ms): sleep/8 mprotect(start: 0x557cc02ca000, len: 4096, prot: READ                 ) = 0
     1.548 ( 0.002 ms): sleep/8 mprotect(start: 0x7fd4d796f000, len: 4096, prot: READ                 ) = 0
     1.551 ( 0.004 ms): sleep/8 munmap(addr: 0x7fd4d796b000, len: 13580                               ) = 0
     1.598 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x557cc1822000
     1.600 ( 0.002 ms): sleep/8 brk(brk: 0x557cc1843000                                               ) = 0x557cc1843000
     0.362 ([31m 1.549 ms[m): memoriaOverhea/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     1.615 ([33m 0.299 ms[m): sleep/8 nanosleep(rqtp: 0x7ffde0281c80                                        ) ...
     1.914 ( 0.002 ms): memoriaOverhea/7 close(fd: 4                                                           ) = 0
     1.918 ( 0.001 ms): memoriaOverhea/7 read(fd: 3, buf: 0x7fff9606d648, count: 4                             ) = 0
     1.921 ( 0.006 ms): memoriaOverhea/7 munmap(addr: 0x7f22e40cc000, len: 36864                               ) = 0
     1.928 ( 0.001 ms): memoriaOverhea/7 close(fd: 3                                                           ) = 0
     1.933 ( 0.001 ms): memoriaOverhea/7 rt_sigprocmask(how: SETMASK, nset: 0x7fff9606d6d8, sigsetsize: 8      ) = 0
     1.944 (     ?   ): memoriaOverhea/7 exit_group(                                                           )
